ebay_url,item_details_url,ebay_seller_url,ebay_title,ebay_item_number,ebay_product_condition,ebay_price,ebay_seller,ebay_upc,ebay_mpn,ebay_brand
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/Carrier-Bryant-Payne-O-E-M-320725-754-Draft-Inducer-Assembly-FS-F-SHIP-NISB/312564361952?hash=item48c649aae0:g:oEgAAOSw5dNWjxu1,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"Carrier Bryant Payne-O.E.M.- 320725-754 Draft Inducer Assembly FS, F/SHIP NISB!!",312564361952,New,"INR 21,609.61(including shipping)",waverlyhills1,00662441966491,320725-754,Carrier
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/DEWALT-DCG414T1-FLEXVOLT-60V-Lithium-Ion-Cordless-4-1-2-Angle-Grinder-KIT-NISB/251966445328?hash=item3aaa5ed710:g:vP8AAOSwenVcuifY,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"DEWALT DCG414T1 FLEXVOLT 60V Lithium-Ion Cordless 4-1/2"" Angle Grinder KIT NISB!",251966445328,New,"INR 19,043.87(including shipping)",waverlyhills1, - - - , - - - ,DEWALT
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/LEVIS-514-STRAIGHT-FIT-ZIP-FLY-MENS-JEANS-SIZE-38X30-GREAT-CONDITION-FREE-SHIP/312559155855?hash=item48c5fa3a8f:g:BjYAAOSwe0tcpXZz,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"LEVI'S 514 STRAIGHT FIT ZIP FLY MEN'S JEANS SIZE 38X30,GREAT CONDITION FREE SHIP",312559155855,Pre-owned,"INR 1,571.34(including shipping)",waverlyhills1,DOES NOT APPLY,513,Levi's
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/JB-Industries-M2-8-410A-H26-948-2-VALVE-BRASS-MANIFOLD-22-41A-404-NHS-NISP-FSHP/312905138847?hash=item48da99829f:g:4mcAAOSwxkpeAAjB,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"JB Industries M2-8-410A(H26-948) 2-VALVE BRASS MANIFOLD,22,41A,404 NHS,NISP,FSHP",312905138847,New,"INR 4,103.05(including shipping)",waverlyhills1,684520330238,M2-8-410A,JUST BETTER
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/LEVIS-550-BOYS-12-HUSKY-32X27-DARK-STONE-WASH-JEANS-GREAT-CONDITION-SOFT-F-SHIP/254226960647?hash=item3b311b9107:g:0Q4AAOSwysVc1bC2,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"LEVI'S 550 BOYS 12-HUSKY 32X27 DARK STONE-WASH JEANS,GREAT CONDITION SOFT F/SHIP",254226960647,Pre-owned,"INR 1,533.06(including shipping)",waverlyhills1,DOES NOT APPLY,N/A,Levi's
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/Dewalt-DWHT62058-Combination-MAXFIT-Screwdriver-Set-8-Piece-NISP-FREE-SHIPPING/254203444088?hash=item3b2fb4bb78:g:7oAAAOSwqctcjpKp,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,Dewalt-DWHT62058 Combination MAXFIT Screwdriver Set (8-Piece) NISP FREE SHIPPING,254203444088,New,"INR 2,563.61(including shipping)",waverlyhills1,076174620580,DWHT62058,DEWALT
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/Makita-XRH04Z-18-Volt-LXT-Lithium-Ion-7-8-Cordless-Rotary-Hammer-F-SHIP-NISB/311953528534?hash=item48a1e116d6:g:HN4AAOSw3NlZrgV1,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"Makita XRH04Z 18-Volt LXT Lithium-Ion 7/8"" Cordless Rotary Hammer-F/SHIP NISB!!",311953528534,New,"INR 17,690.13(including shipping)",waverlyhills1,088381661775,XRH04Z,Makita
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/Milwaukee-2860-20-M18-FUEL-BRUSHLESS-1-2-Pin-Detent-Impact-Wrench-NISB-F-SHIP/251722909648?hash=item3a9bdac7d0:g:ww4AAOSwkNtaTr4D,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"Milwaukee 2860-20 M18 FUEL BRUSHLESS 1/2"" Pin Detent Impact Wrench-NISB F/SHIP!",251722909648,New,"INR 12,750.02(including shipping)",waverlyhills1,0045242485093,286020,Milwaukee
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/Milwaukee-6852-20-18-Gauge-Shear-FREE-FAST-SHIPPING-NEW-SEALED-BOX-2018-DATE/312481556622?hash=item48c15a288e:g:ZToAAOSwajRcacHd,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,"Milwaukee 6852-20, 18 Gauge Shear, FREE FAST SHIPPING, NEW SEALED  BOX 2018 DATE",312481556622,New,"INR 17,711.39(including shipping)",waverlyhills1,045242059430,6852-20,Milwaukee
https://www.ebay.com/sch/waverlyhills1/m.html?_nkw=&_armrs=1&_from=,https://www.ebay.com/itm/Ryobi-P3320-18V-ONE-Dual-Power-Portable-Fan-Tool-Only-Fully-ADJUSTABLE-FSP-NISB/252989711448?hash=item3ae75ca458:g:iUoAAOSw65FXr98B,https://www.ebay.com/usr/waverlyhills1?_trksid=p2047675.l2559,Ryobi P3320 18V ONE+ Dual Power Portable Fan(Tool-Only)Fully ADJUSTABLE FSP NISB,252989711448,New,"INR 4,889.79(including shipping)",waverlyhills1,033287163298,P3320,Ryobi
